,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd
0,Abiotic,Oxidative_Deamination_to_Alcohol_(-H2N),HO,0.98402,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'N': 1}), targ=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'H': -1, 'O': 1, 'N': -1}), direction=1, mass_err=-4.4168499994112764e-06)]",2.0348333541299057,0.049101010496662816,0.01422037081177322,0.009914869705117462
1,Abiotic,Carbon/dehydrogenation,C13,1.00335,"[TransformInfo(src=defaultdict(<class 'int'>, {'C': 1}), targ=defaultdict(<class 'int'>, {'C[13]': 1}), delta_f=defaultdict(<class 'int'>, {'C[13]': 1, 'C': -1}), direction=1, mass_err=4.835339999731403e-06)]",2.067496070584303,0.06151534172435275,0.01440356531369166,0.010758009546033948
2,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.03163,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'H': 3, 'N': 1}), delta_f=defaultdict(<class 'int'>, {'H': 3, 'N': 1, 'O': -1}), direction=-1, mass_err=4.480650000138198e-06)]",2.0248687806679193,0.053001246117033766,0.011850514823654972,0.008519420108512643
3,Abiotic,Oxidative_Defluorination_(-F),HO,1.99566,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'F': 1}), delta_f=defaultdict(<class 'int'>, {'F': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=3.510900001835182e-06)]",2.114701281851045,0.08865532515357356,0.010605584605177461,0.0068883796993448095
4,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650074,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 2}), delta_f=defaultdict(<class 'int'>, {'H': 2}), direction=1, mass_err=-1.0199999955773364e-08)]",4.159169898889405,0.8489730652550357,0.16419979606675658,0.014049217462997483
5,Amino Acid,Transamination_(-O),NH4,2.039459,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'N': 1, 'H': 4}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 4, 'O': -1}), direction=1, mass_err=5.125500015523698e-07)]",2.0196937700476894,0.03140324570501833,0.016601857064032194,0.01066891105012215
6,Abiotic,Tertiary_amine,N,14.00307401,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1}), direction=1, mass_err=-5.750001363935553e-09)]",2.021418052136038,0.03338534438403634,0.019000303675040884,0.01051004731748578
7,Abiotic,Methylation_(-H),CH3,14.01565,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 3}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 2}), direction=1, mass_err=6.379999994976515e-08)]",5.641581211094033,1.3112076716591206,0.12232332846412153,0.014403115672737797
8,Abiotic,Secondary_amine,NH,15.01089905,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), direction=1, mass_err=-1.3850002034132558e-08)]",2.026730117115156,0.036402640723297526,0.012504156012930862,0.00953882509237753
9,Other,Thiourea_to_Urea_(-S),O,15.97716,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'S': 1}), delta_f=defaultdict(<class 'int'>, {'S': 1, 'O': -1}), direction=-1, mass_err=-3.4457999973369624e-06)]",2.035826337176085,0.049786804809726345,0.01703183919093891,0.009537077205994627
