,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd,_orig_id
0,Abiotic,Oxidative_Deamination_to_Alcohol_(-H2N),HO,0.98402,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'N': 1}), targ=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'H': -1, 'O': 1, 'N': -1}), direction=1, mass_err=-4.4168499994112764e-06)]",2.0348333541299057,0.049101010496662816,0.01422037081177322,0.009914869705117462,0
1,Abiotic,Carbon/dehydrogenation,C13,1.00335,"[TransformInfo(src=defaultdict(<class 'int'>, {'C': 1}), targ=defaultdict(<class 'int'>, {'C[13]': 1}), delta_f=defaultdict(<class 'int'>, {'C[13]': 1, 'C': -1}), direction=1, mass_err=4.835339999731403e-06)]",2.067496070584303,0.06151534172435275,0.01440356531369166,0.010758009546033948,1
2,Abiotic,Oxidative_Defluorination_(-F),HO,1.99566,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'F': 1}), delta_f=defaultdict(<class 'int'>, {'F': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=3.510900001835182e-06)]",2.114701281851045,0.08865532515357356,0.010605584605177461,0.0068883796993448095,3
3,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650074,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 2}), delta_f=defaultdict(<class 'int'>, {'H': 2}), direction=1, mass_err=-1.0199999955773364e-08)]",4.159169898889405,0.8489730652550357,0.16419979606675658,0.014049217462997483,4
4,Amino Acid,Transamination_(-O),NH4,2.039459,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'N': 1, 'H': 4}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 4, 'O': -1}), direction=1, mass_err=5.125500015523698e-07)]",2.0196937700476894,0.03140324570501833,0.016601857064032194,0.01066891105012215,5
5,Abiotic,Tertiary_amine,N,14.00307401,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1}), direction=1, mass_err=-5.750001363935553e-09)]",2.021418052136038,0.03338534438403634,0.019000303675040884,0.01051004731748578,6
6,Abiotic,Methylation_(-H),CH3,14.01565,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 3}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 2}), direction=1, mass_err=6.379999994976515e-08)]",5.641581211094033,1.3112076716591206,0.12232332846412153,0.014403115672737797,7
7,Abiotic,Secondary_amine,NH,15.01089905,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), delta_f=defaultdict(<class 'int'>, {'N': 1, 'H': 1}), direction=1, mass_err=-1.3850002034132558e-08)]",2.026730117115156,0.036402640723297526,0.012504156012930862,0.00953882509237753,8
8,Other,Thiourea_to_Urea_(-S),O,15.97716,"[TransformInfo(src=defaultdict(<class 'int'>, {'O': 1}), targ=defaultdict(<class 'int'>, {'S': 1}), delta_f=defaultdict(<class 'int'>, {'S': 1, 'O': -1}), direction=-1, mass_err=-3.4457999973369624e-06)]",2.035826337176085,0.049786804809726345,0.01703183919093891,0.009537077205994627,9
9,Abiotic,Formic_Acid_(-H2O),CO,27.99491464,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 1, 'O': 2, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'O': 1}), direction=1, mass_err=-2.070000348908252e-08)]",4.3373741589519605,0.9629496252150851,0.1403376542326133,0.01238795842506996,16
10,Abiotic,Inorganic_Phosphate,P,30.9737634,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'P': 1}), delta_f=defaultdict(<class 'int'>, {'P': 1}), direction=1, mass_err=-1.4023000005636277e-06)]",2.0422272267003643,0.07988219753350305,0.004473551301157423,0.0030601214828846024,19
11,Abiotic,Reductive_Dechlorination_(-Cl),H,33.96103,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'Cl': 1}), delta_f=defaultdict(<class 'int'>, {'Cl': 1, 'H': -1}), direction=-1, mass_err=-2.3419000001467793e-06)]",2.059251754294515,0.08372064328542766,0.018276290724193033,0.012377631346526112,20
12,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,44.01363872,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'P': 1, 'O': 4}), targ=defaultdict(<class 'int'>, {'C': 1, 'H': 4, 'O': 5, 'N': 1, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 1, 'H': 2, 'O': 1, 'N': 1}), direction=1, mass_err=-3.265000714236521e-08)]",2.0112194863276778,0.02058888299811513,0.01678896990612288,0.010089260354324746,23
13,Abiotic,Oxidative_Debromination_(-Br),HO,61.9156,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1, 'O': 1}), targ=defaultdict(<class 'int'>, {'Br': 1}), delta_f=defaultdict(<class 'int'>, {'Br': 1, 'H': -1, 'O': -1}), direction=-1, mass_err=-2.0511999991867924e-06)]",2.0150185971096133,0.05335868105967119,0.006103671277030308,0.0023572953881714057,30
14,Abiotic,Isoprene_addition_(-H),C5H7,67.05477526,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 5, 'H': 8}), delta_f=defaultdict(<class 'int'>, {'C': 5, 'H': 7}), direction=1, mass_err=-3.6700001260214776e-08)]",2.1494892085099546,0.16524656881918162,0.00673464720815644,0.006220108006183471,32
15,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.95681,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'H': 1, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'O': 3, 'S': 1}), direction=1, mass_err=5.031399993526975e-06), TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'S': 1, 'O': 4, 'H': 2}), delta_f=defaultdict(<class 'int'>, {'S': 1, 'O': 3}), direction=1, mass_err=5.031399993526975e-06)]",2.0118617388624864,0.0277422606106333,0.01451429266320337,0.006401418287788074,35
16,Abiotic,Phosphate,HPO3,79.96633236,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'H': 1, 'P': 1, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'H': 1, 'P': 1, 'O': 3}), direction=1, mass_err=-1.472500002819288e-06)]",2.015153217201273,0.03050751367180362,0.013822506909970519,0.010945531269358535,36
17,Amino Acid,Serine_(-H2O),C3H5NO2,87.03202848,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 3, 'H': 7, 'N': 1, 'O': 3}), delta_f=defaultdict(<class 'int'>, {'C': 3, 'H': 5, 'N': 1, 'O': 2}), direction=1, mass_err=-7.765000020754087e-08)]",2.0148278046947077,0.03535265850049053,0.006654923305358484,0.005323853537447956,39
